,GMM,KM
2,0.00015288181654331503,0.12095095502003782
4,0.061182623554819925,0.07318773867709637
6,0.06441257434867378,0.08879997048938568
8,0.07899238559716354,0.07705776251722189
10,0.02890267661832774,0.06256115087614747
12,0.028044778231782676,0.06238647202551705
14,0.036622136412054924,0.043674883495169896
16,0.0496497507041693,0.054334948045339615
18,0.04898436539811733,0.05869603175134294
20,0.03856768414893549,0.05386804133747675
25,0.04235645780944456,0.05341654961364743
30,0.042728765490248,0.04757021073538334
