,GMM,KM
2,0.00017688854998987533,0.12096884954693458
4,0.06121140309501315,0.07321777768422633
6,0.06445436694684929,0.08884252642617226
8,0.07905420650814951,0.07711842676895395
10,0.028995311008608814,0.06263016061036676
12,0.028154317863631737,0.06247556597056719
14,0.03673226195871126,0.04376702555885373
16,0.0497669181722156,0.05442888235863971
18,0.04911443451169462,0.05881089594952964
20,0.0386891967855621,0.05398459871208969
25,0.04249114856406979,0.05356201227156752
30,0.042890360402930254,0.04775119063806951
