,GMM,KM
2,0.00018177634016414593,0.1466203937180908
4,0.14780844837515963,0.16722731468780788
6,0.17804298707256208,0.23609858256357558
8,0.20490412520934992,0.20506993076609897
10,0.06795454905785499,0.19082690981055833
12,0.06823172963132311,0.18024447176490532
14,0.10377399231740177,0.14863724622064414
16,0.1517083803145333,0.20384699871680698
18,0.15378707327122845,0.2062627447932751
20,0.1462299974900474,0.20900103060244743
25,0.18253573247799867,0.21034728810820869
30,0.1857544319366943,0.18391398513496335
