,Reconstruction
1,0.99999
2,0.99845
3,0.98765
4,0.96787
5,0.96001
6,0.94998
7,0.92998
8,0.90123
9,0.88567
10,0.86349
11,0.85678
12,0.80343
13,0.74232
14,0.71232
15,0.69343
16,0.68123
17,0.62143
18,0.58454
19,0.54232
20,0.50123
21,0.45989
22,0.42676
23,0.38453
24,0.35231
25,0.30132
26,0.26782
27,0.23763
28,0.19454
29,0.16343
30,0.11343
31,0.08343
32,0.07453
33,0.05123
34,0.05001
35,0.04278
36,0.04252
37,0.04244
38,0.04202
39,0.04198
40,0.04174
41,0.04134
42,0.04121
43,0.04103
44,0.03892
45,0.03823
46,0.03784
47,0.03754
48,0.03721
49,0.03645
50,0.03602
51,0.03545
52,0.03514
53,0.03478
54,0.03444
55,0.03419
56,0.03301
57,0.03108
58,0.02987
59,0.02889
60,0.02763
61,0.02715
62,0.02634
63,0.02598
64,0.02476
65,0.02399
66,0.02321
67,0.02251
68,0.01674
69,0.01432
70,0.01231
71,0.01198
72,0.01001
73,0.00982
74,0.00912
75,0.00876
76,0.00832
77,0.00801
78,0.00756
79,0.00734
80,0.00621
81,0.00534
82,0.00312
83,0.00103
84,0.00012
